AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;MONTH_NUM;AC_CLASS;NB_TURN_ARROUND;TOT_SDTT_MIN;TOT_ACTT_MIN;TOT_ADTT_MIN
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;7;MT;2;196;196;0
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;7;MJ;1575;61465;71873;10408
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;8;MJ;1555;61213;69278;8065
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;9;MT;4;207;207;0
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;9;MJ;1383;53209;62223;9014
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;10;MJ;1355;51495;58851;7356
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;11;MJ;1106;41862;46535;4673
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;12;MJ;1130;43446;49345;5899
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;1;MJ;1099;41861;47216;5355
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;2;MJ;1012;38869;44597;5728
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;3;MJ;1144;42459;48769;6310
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;4;MJ;1407;52815;58911;6096
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;4;MT;1;8;8;0
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;5;MJ;1504;56019;65728;9709
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;6;MJ;1502;56727;67637;10910
